"","GEOID","NAME","total_popE","total_popM","incomeE","incomeM","whiteE","whiteM","blackE","blackM","nativeE","nativeM","asianE","asianM","PIE","PIM","HispE","HispM","summary_est","summary_moe","geometry","Wpercent","Bpercent","Npercent","Apercent","PIpercent","Hpercent"
"29","31109003724","Census Tract 37.24; Lancaster County; Nebraska",3743,302,88333,37899,3407,365,10,18,0,10,73,79,0,10,54,60,3743,302,list(c(-96.625284, -96.625279, -96.625272, -96.625272, -96.618658, -96.606156, -96.606104, -96.612538, -96.616339, -96.625292, -96.625284, 40.758792, 40.761234, 40.769612, 40.769693, 40.76968, 40.769739, 40.755248, 40.755253, 40.755256, 40.755264, 40.758792)),91.023243387657,0.267165375367352,0,1.95030724018167,0,1.4426930269837
"30","31109001001","Census Tract 10.01; Lancaster County; Nebraska",3320,475,63750,26050,2809,385,134,120,1,3,84,66,0,10,155,89,3320,475,list(c(-96.653642, -96.644134, -96.630432, -96.630384, -96.630412, -96.630448, -96.643933, -96.644136, -96.653725, -96.653642, 40.835299, 40.835286, 40.835202, 40.835202, 40.832104, 40.827933, 40.828018, 40.828019, 40.827957, 40.835299)),84.6084337349398,4.03614457831325,0.0301204819277108,2.53012048192771,0,4.66867469879518
"31","31109003719","Census Tract 37.19; Lancaster County; Nebraska",5513,431,112805,13415,4878,414,0,15,0,15,257,190,0,15,250,151,5513,431,list(c(-96.60655, -96.606076, -96.606119, -96.606104, -96.603159, -96.588113, -96.587068, -96.587068, -96.586895, -96.567944, -96.568002, -96.567792, -96.567783, -96.56777, -96.56779, -96.567899, -96.567787, -96.568664, -96.572059, -96.606282, -96.606145, -96.606147, -96.606151, -96.606158, -96.606171, -96.606019, -96.606835, -96.60655, 40.735992, 40.736919, 40.741499, 40.755248, 40.755244, 40.755315, 40.755343, 40.755191, 40.755191, 40.755123, 40.740638, 40.733405, 40.72949, 40.729372, 40.72617, 
40.704448, 40.697209, 40.69721, 40.697215, 40.697279, 40.711789, 40.713545, 40.715429, 40.719084, 40.72632, 40.733512, 40.734705, 40.735992)),88.481770360965,0,0,4.66170868855433,0,4.53473607836024
"32","31109003704","Census Tract 37.04; Lancaster County; Nebraska",5474,974,55566,9118,4332,943,381,325,21,24,101,85,0,15,327,227,5474,974,list(c(-96.682822, -96.672874, -96.669677, -96.667619, -96.663304, -96.662813, -96.653717, -96.645949, -96.644432, -96.644432, -96.646231, -96.6496, -96.652198, -96.656845, -96.663368, -96.676996, -96.677218, -96.682566, -96.68252, -96.682546, -96.682759, -96.682822, 40.768125, 40.76709, 40.76661, 40.765672, 40.762134, 40.761836, 40.758932, 40.756367, 40.754756, 40.754723, 40.755279, 40.755313, 40.755327, 40.755358, 40.755366, 40.755431, 40.755433, 40.755482, 40.763938, 40.76726, 40.767945, 40.768125
)),79.1377420533431,6.96017537449763,0.383631713554987,1.84508586043113,0,5.97369382535623
"33","31109003401","Census Tract 34.01; Lancaster County; Nebraska",6339,524,87378,13552,4177,512,530,196,37,36,308,209,132,130,792,278,6339,524,list(c(-96.796422, -96.792583, -96.790872, -96.78799, -96.784507, -96.778701, -96.774306, -96.757775, -96.753283, -96.750029, -96.749383, -96.748038, -96.744743, -96.748435, -96.748885, -96.749368, -96.74936, -96.749352, -96.749349, -96.750578, -96.758837, -96.768445, -96.778027, -96.79655, -96.796422, 40.790496, 40.799185, 40.80223, 40.804837, 40.806586, 40.807867, 40.808772, 40.809538, 40.809953, 40.805133, 40.804516, 40.803708, 40.802668, 40.801014, 40.800651, 40.79923, 40.791901, 40.786549, 40.784597, 
40.784598, 40.784607, 40.784626, 40.784639, 40.784667, 40.790496)),65.8936740810853,8.36094021138981,0.583688278908345,4.85881053793974,2.08234737340274,12.4940842404165
"34","31109001301","Census Tract 13.01; Lancaster County; Nebraska",3632,440,76935,5940,3368,453,42,43,24,26,23,22,0,10,114,82,3632,440,list(c(-96.644145, -96.64225, -96.641825, -96.630545, -96.625146, -96.625206, -96.62514, -96.631664, -96.634598, -96.636389, -96.644139, -96.644145, 40.806186, 40.809806, 40.813475, 40.813421, 40.813393, 40.806093, 40.798779, 40.798948, 40.799, 40.798985, 40.798919, 40.806186)),92.7312775330396,1.15638766519824,0.66079295154185,0.633259911894273,0,3.13876651982379
"35","31109001400","Census Tract 14; Lancaster County; Nebraska",4408,583,60490,17099,3804,605,55,53,0,10,0,10,0,10,342,271,4408,583,list(c(-96.663319, -96.653628, -96.648828, -96.641825, -96.64225, -96.644145, -96.644139, -96.653666, -96.663282, -96.663267, -96.663253, -96.663319, 40.813535, 40.813528, 40.81351, 40.813475, 40.809806, 40.806186, 40.798919, 40.798932, 40.798943, 40.802564, 40.80619, 40.813535)),86.2976406533575,1.24773139745917,0,0,0,7.75862068965517
"36","31109001700","Census Tract 17; Lancaster County; Nebraska",4618,511,38204,7994,2833,329,300,170,0,10,397,128,0,10,681,336,4618,511,list(c(-96.696805, -96.696788, -96.696769, -96.690663, -96.688949, -96.687831, -96.687255, -96.686434, -96.683465, -96.682258, -96.680079, -96.675385, -96.676283, -96.67661, -96.677802, -96.682352, -96.682491, -96.689279, -96.691778, -96.692364, -96.696654, -96.69684, -96.696805, 40.803629, 40.805821, 40.809176, 40.809158, 40.809007, 40.808073, 40.806397, 40.805575, 40.802909, 40.802424, 40.802009, 40.798839, 40.798814, 40.798853, 40.79898, 40.798943, 40.798943, 40.798962, 40.798989, 40.79913, 40.799135, 
